orderId,productId,quantity
1,10633,5
2,11620,9
3,9417,3
4,6857,8
5,16368,8
6,8065,4
7,3773,6
8,7335,8
9,15685,9
10,19518,8
11,13060,4
12,16012,2
13,15861,2
14,13879,6
15,13172,5
16,17934,1
17,7498,2
18,1313,9
19,1392,9
20,10265,5
21,18853,5
22,18838,1
23,4556,3
24,5152,4
25,17426,6
26,10619,1
27,4206,1
28,17119,2
29,19005,8
30,9892,7
31,16124,9
32,4745,4
33,10334,2
34,8474,8
35,1982,4
36,19282,3
37,9785,8
38,14287,6
39,2077,6
40,13683,7
41,18919,8
42,18961,4
43,10244,8
44,319,9
45,16630,6
46,16108,4
47,17606,1
48,1182,5
49,4272,6
50,15409,2
51,8209,7
52,9581,1
53,2180,2
54,7674,7
55,12685,5
56,16848,4
57,19887,7
58,19359,8
59,5173,1
60,904,1
61,7316,9
62,17662,1
63,2310,7
64,6291,7
65,18475,4
66,8136,1
67,4042,4
68,383,6
69,10935,1
70,8202,4
71,2541,5
72,7754,10
73,3314,9
74,17179,4
75,12375,6
76,18263,10
77,7035,7
78,11903,6
79,13739,7
80,18818,4
81,2394,2
82,18629,4
83,2434,9
84,2274,10
85,678,1
86,13882,3
87,1921,1
88,18074,1
89,9402,8
90,14037,3
91,9524,8
92,17082,2
93,10968,5
94,19971,8
95,9171,5
96,3161,2
97,8864,9
98,14461,3
99,13299,2
100,9299,1
101,13727,8
102,6020,8
103,5762,7
104,12894,7
105,17250,1
106,10214,4
107,18727,1
108,5043,2
109,6380,9
110,13091,3
111,5100,7
112,13520,5
113,11187,9
114,17366,10
115,16075,2
116,19595,10
117,17701,7
118,4233,4
119,1008,2
120,17666,8
121,10025,9
122,4128,8
123,6722,9
124,13785,9
125,14641,2
126,18915,9
127,16892,5
128,12953,3
129,14104,7
130,6328,2
131,1517,8
132,11830,10
133,12871,8
134,4789,8
135,3958,5
136,15883,7
137,18051,3
138,19229,2
139,17161,5
140,9004,7
141,11434,2
142,10471,7
143,13725,2
144,18342,3
145,15792,10
146,9911,3
147,2043,5
148,13528,7
149,18252,1
150,18446,6
151,11395,10
152,1772,5
153,18886,10
154,9547,4
155,12221,5
156,5718,9
157,725,4
158,5465,2
159,11611,1
160,4283,9
161,8487,8
162,588,6
163,11242,2
164,18673,6
165,18802,6
166,7826,10
167,11373,10
168,8582,4
169,19738,8
170,18444,3
171,12850,9
172,1112,1
173,18034,5
174,14889,10
175,551,9
176,1393,5
177,5888,5
178,10354,7
179,7488,3
180,10255,4
181,10584,7
182,651,7
183,13983,3
184,6097,4
185,7699,9
186,16592,3
187,12300,5
188,8982,5
189,17978,3
190,5114,4
191,11836,9
192,11194,5
193,8623,10
194,16296,8
195,6290,3
196,3436,9
197,4367,2
198,792,1
199,8305,3
200,2207,5
201,8620,5
202,11606,9
203,11270,6
204,14690,1
205,12223,9
206,1716,1
207,14159,1
208,16979,1
209,5886,6
210,9425,1
211,5596,7
212,7830,6
213,13023,6
214,14410,9
215,19559,9
216,14544,5
217,10831,4
218,17518,1
219,16734,8
220,5039,5
221,5479,2
222,7818,8
223,10641,5
224,17244,1
225,7804,6
226,7996,1
227,2042,6
228,15341,6
229,16306,1
230,17540,5
231,19738,6
232,15525,10
233,2758,2
234,12243,3
235,7409,3
236,15274,10
237,6467,7
238,9993,2
239,17248,10
240,11679,5
241,4696,1
242,5211,6
243,4360,10
244,4487,1
245,6881,7
246,350,9
247,2198,8
248,19874,7
249,7657,1
250,15146,9
251,9535,10
252,19464,6
253,7504,6
254,15959,4
255,10185,5
256,3556,9
257,18905,5
258,9518,3
259,476,6
260,14,8
261,14435,10
262,19420,5
263,10460,10
264,18141,9
265,13744,6
266,12060,5
267,1933,6
268,17542,3
269,9668,3
270,11725,6
271,16874,9
272,11635,3
273,15130,3
274,1229,7
275,18460,7
276,14718,5
277,14694,4
278,3944,10
279,7264,4
280,19390,7
281,7507,1
282,17791,7
283,8619,3
284,17307,8
285,5139,3
286,2422,1
287,10291,1
288,151,5
289,2233,1
290,1035,6
291,3831,8
292,9449,8
293,15835,8
294,2415,4
295,6453,5
296,367,6
297,15171,10
298,627,10
299,9775,9
300,15166,8
301,19659,10
302,17468,5
303,14125,3
304,18734,3
305,1005,3
306,12851,5
307,12925,7
308,2774,5
309,3038,6
310,14287,6
311,9567,2
312,3604,4
313,11922,4
314,17858,8
315,1043,7
316,7005,3
317,117,8
318,9064,6
319,2794,9
320,12234,2
321,477,2
322,9324,10
323,3971,3
324,11318,3
325,11849,4
326,5237,7
327,18468,8
328,3051,5
329,5728,8
330,13965,1
331,17397,1
332,18918,1
333,12757,8
334,2991,1
335,18805,4
336,9278,9
337,3326,9
338,8769,8
339,11949,3
340,11999,5
341,12330,7
342,15734,10
343,14873,10
344,567,4
345,8279,6
346,1643,5
347,9218,7
348,4385,1
349,10692,8
350,18917,6
351,14504,5
352,16187,1
353,3644,4
354,15759,6
355,17990,10
356,7334,5
357,7149,8
358,18693,10
359,7330,4
360,17016,5
361,12750,4
362,14474,8
363,3545,4
364,2643,6
365,12354,9
366,9170,7
367,12111,4
368,17202,10
369,423,5
370,1789,2
371,10918,2
372,18597,6
373,3050,8
374,16522,3
375,9741,8
376,11262,1
377,6155,8
378,17262,5
379,14352,9
380,14493,4
381,10527,2
382,5358,10
383,15429,7
384,16502,9
385,15014,5
386,2566,1
387,19028,7
388,624,4
389,19302,3
390,11178,2
391,17098,10
392,11281,2
393,18797,7
394,6211,4
395,6020,8
396,5471,1
397,5,9
398,15249,3
399,8287,2
400,2891,10
401,17238,6
402,1509,2
403,17967,3
404,10342,5
405,15365,1
406,18950,1
407,18426,6
408,16390,5
409,8590,7
410,2978,7
411,13218,9
412,18518,3
413,7031,3
414,19829,7
415,1106,5
416,782,8
417,4706,10
418,7794,5
419,4130,2
420,182,3
421,1669,8
422,10721,3
423,8766,5
424,5593,10
425,17907,9
426,6544,7
427,11756,6
428,12327,3
429,7478,6
430,9690,4
431,14906,9
432,814,9
433,13951,5
434,6761,10
435,8989,7
436,525,2
437,475,4
438,19994,9
439,13121,1
440,18772,1
441,2346,3
442,9602,1
443,12525,8
444,4231,6
445,9194,5
446,11761,1
447,3631,1
448,16705,5
449,6634,5
450,18984,5
451,6200,8
452,13229,1
453,16426,10
454,1933,6
455,18271,6
456,11251,3
457,2366,7
458,16548,3
459,19909,8
460,11342,3
461,15410,6
462,9420,4
463,12249,3
464,18054,2
465,19899,4
466,3613,4
467,2363,6
468,6883,5
469,3571,10
470,1575,7
471,11381,6
472,8556,7
473,696,3
474,18523,9
475,12760,7
476,18224,7
477,7792,8
478,8376,8
479,4316,7
480,3806,2
481,586,1
482,9829,2
483,13091,4
484,4935,6
485,8492,9
486,9562,10
487,2573,1
488,1630,1
489,3514,9
490,19834,7
491,2737,7
492,18869,6
493,11192,7
494,12770,1
495,11430,7
496,14564,10
497,19458,7
498,12687,9
499,2345,10
500,827,9
501,4145,6
502,5857,2
503,15265,8
504,3558,9
505,5148,2
506,16140,5
507,8707,4
508,2243,2
509,11953,9
510,16074,5
511,673,2
512,13793,6
513,9142,9
514,15777,8
515,5617,3
516,15450,6
517,18115,2
518,9900,7
519,9726,2
520,3017,10
521,19728,7
522,12623,10
523,3297,7
524,19377,3
525,11427,8
526,5065,10
527,2336,2
528,9085,4
529,4397,3
530,1393,3
531,2975,8
532,10135,10
533,15779,1
534,19956,2
535,12848,4
536,17270,8
537,15916,3
538,17597,8
539,14980,10
540,10505,5
541,6319,6
542,10365,9
543,6032,3
544,3171,5
545,19328,7
546,19577,6
547,5414,7
548,13876,8
549,9795,2
550,5670,7
551,4746,2
552,8315,10
553,3977,8
554,17676,10
555,14222,9
556,6305,1
557,12128,4
558,14404,2
559,3937,8
560,4846,7
561,14503,6
562,1098,8
563,9456,4
564,6935,8
565,16894,9
566,17269,3
567,10389,6
568,15151,10
569,10141,2
570,12326,8
571,13713,5
572,3792,10
573,17112,2
574,19371,3
575,2898,10
576,4155,4
577,19174,5
578,10062,9
579,17116,1
580,19021,2
581,5011,2
582,7199,5
583,15190,1
584,8216,5
585,13745,9
586,17011,9
587,5247,9
588,6143,10
589,12499,2
590,10711,3
591,4037,8
592,6346,5
593,2502,10
594,5400,2
595,1078,10
596,16211,8
597,5073,1
598,2092,6
599,14851,5
600,5136,7
601,4218,9
602,2450,6
603,6175,8
604,2918,6
605,7511,7
606,3564,2
607,18080,9
608,8727,4
609,5921,3
610,15642,5
611,6515,8
612,1617,6
613,11229,5
614,4834,6
615,13122,8
616,18561,1
617,16136,8
618,6453,2
619,16161,9
620,18883,3
621,14080,9
622,2680,7
623,3291,2
624,7380,4
625,12152,3
626,1310,1
627,649,9
628,15064,8
629,3312,9
630,1220,7
631,12122,9
632,3316,3
633,5512,9
634,813,1
635,10966,10
636,7435,8
637,13963,9
638,18259,10
639,16468,1
640,8356,8
641,2719,3
642,5647,5
643,3268,6
644,31,3
645,10755,4
646,15963,9
647,19511,2
648,8363,7
649,359,2
650,5783,5
651,1369,7
652,12733,9
653,7385,3
654,17068,3
655,12668,5
656,13070,10
657,9971,8
658,314,1
659,60,6
660,8436,1
661,16049,1
662,3853,6
663,12714,4
664,13637,7
665,17385,2
666,11743,9
667,14939,10
668,17947,6
669,19525,9
670,14260,2
671,7445,10
672,4617,3
673,2167,8
674,8362,1
675,10900,7
676,19999,9
677,10943,9
678,466,2
679,9668,2
680,15312,8
681,2619,5
682,18441,4
683,11824,8
684,14257,9
685,6859,9
686,11240,10
687,7580,7
688,5252,10
689,16125,2
690,18396,3
691,16333,4
692,4618,9
693,6380,10
694,8457,5
695,14838,10
696,1033,10
697,11327,5
698,8890,9
699,16899,6
700,15336,10
701,3210,6
702,5886,9
703,14480,10
704,12173,10
705,15633,1
706,19854,1
707,17560,7
708,6455,5
709,16953,3
710,19941,4
711,17886,3
712,7986,5
713,17827,9
714,2001,7
715,15743,10
716,15066,1
717,5613,5
718,9580,7
719,13549,7
720,15806,9
721,7109,6
722,4608,9
723,13296,5
724,13825,5
725,14825,8
726,16185,7
727,12569,5
728,9852,8
729,1171,1
730,12307,10
731,522,5
732,19809,8
733,11791,6
734,18293,2
735,13812,7
736,10312,3
737,11910,6
738,10536,2
739,10982,9
740,4936,8
741,10309,8
742,9906,1
743,1457,9
744,1278,9
745,12036,3
746,10830,10
747,12018,5
748,17944,1
749,11500,5
750,1382,9
751,3826,8
752,10913,10
753,10246,1
754,182,10
755,4257,5
756,19442,4
757,14683,1
758,1033,8
759,11583,7
760,5793,9
761,15694,9
762,7248,9
763,6179,10
764,11708,8
765,3113,8
766,18163,8
767,15581,8
768,17673,6
769,1486,9
770,2319,4
771,18471,7
772,17876,7
773,12614,9
774,17014,4
775,8031,2
776,18041,6
777,4836,4
778,17736,10
779,2796,9
780,3637,4
781,19438,2
782,14252,7
783,12106,1
784,384,10
785,14156,8
786,3362,9
787,4021,10
788,4165,7
789,4192,2
790,16589,10
791,14967,6
792,10690,6
793,17393,7
794,12757,6
795,1028,10
796,8561,8
797,17561,4
798,2746,8
799,1670,8
800,19257,10
801,4819,1
802,3436,3
803,17718,3
804,9502,7
805,14911,2
806,17473,6
807,12801,7
808,15824,3
809,10237,10
810,5388,4
811,48,3
812,16474,2
813,1586,1
814,16073,10
815,6927,3
816,16291,6
817,13226,2
818,2446,3
819,18717,9
820,17717,4
821,463,7
822,14735,3
823,4164,2
824,6140,3
825,15443,7
826,8103,5
827,12125,9
828,16082,3
829,2095,10
830,16892,6
831,2648,5
832,12182,1
833,15937,1
834,5586,4
835,19793,2
836,12758,8
837,1022,1
838,13096,10
839,9588,5
840,16666,5
841,6890,1
842,2472,2
843,17347,2
844,6769,2
845,19732,7
846,16559,3
847,5903,2
848,2992,6
849,17886,10
850,11439,10
851,3433,3
852,16703,7
853,17052,8
854,7837,2
855,13697,8
856,1429,10
857,6764,3
858,3140,10
859,474,7
860,1866,10
861,18431,3
862,17689,8
863,13301,7
864,2334,10
865,8941,8
866,11318,10
867,7972,1
868,1598,4
869,2044,8
870,19282,1
871,2435,4
872,18641,4
873,8302,8
874,14206,8
875,3533,2
876,13692,5
877,5618,5
878,11037,4
879,1046,6
880,7518,7
881,18245,6
882,5814,4
883,18575,3
884,15581,5
885,12036,8
886,6145,6
887,16999,5
888,4674,10
